nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mvscoglw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_102227-mvscoglw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/ablation-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/ablation-resnet18/runs/mvscoglw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 144/200 - Loss: 0.0158, Val Acc: 60.11%, Head: 69.75%, Med: 21.55%, Tail: 0.00%
[adam] Epoch 145/200 - Loss: 0.0142, Val Acc: 59.54%, Head: 68.60%, Med: 23.30%, Tail: 0.00%
[adam] Epoch 146/200 - Loss: 0.0124, Val Acc: 60.46%, Head: 69.46%, Med: 24.45%, Tail: 0.00%
[adam] Epoch 147/200 - Loss: 0.0145, Val Acc: 59.43%, Head: 68.40%, Med: 23.55%, Tail: 0.00%
[adam] Epoch 148/200 - Loss: 0.0178, Val Acc: 59.96%, Head: 69.62%, Med: 21.30%, Tail: 0.00%
[adam] Epoch 149/200 - Loss: 0.0101, Val Acc: 59.52%, Head: 67.86%, Med: 26.15%, Tail: 0.00%
[adam] Epoch 150/200 - Loss: 0.0127, Val Acc: 60.09%, Head: 70.05%, Med: 20.25%, Tail: 0.00%
[adam] Epoch 151/200 - Loss: 0.0082, Val Acc: 60.08%, Head: 69.80%, Med: 21.20%, Tail: 0.00%
[adam] Epoch 152/200 - Loss: 0.0101, Val Acc: 59.10%, Head: 68.04%, Med: 23.35%, Tail: 0.00%
[adam] Epoch 153/200 - Loss: 0.0114, Val Acc: 60.51%, Head: 69.45%, Med: 24.75%, Tail: 0.00%
