nohup: ignoring input
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
/home/gauranshi/miniconda3/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/gauranshi/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run k45kwifk
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home/gauranshi/Trinity-opt-DSAA2026/wandb/run-20260904_120600-k45kwifk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ViT_cifar10_imb0.01
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/Trinity-Benchmark
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/Trinity-Benchmark/runs/k45kwifk
sys:1: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch 164/200 - Loss: 0.3107, Val Acc: 48.48%, Head: 57.12%, Med: 13.90%, Tail: 0.00%
Epoch 165/200 - Loss: 0.3001, Val Acc: 50.89%, Head: 58.52%, Med: 20.35%, Tail: 0.00%
Epoch 166/200 - Loss: 0.2850, Val Acc: 49.14%, Head: 57.16%, Med: 17.05%, Tail: 0.00%
Epoch 167/200 - Loss: 0.2822, Val Acc: 48.68%, Head: 57.23%, Med: 14.50%, Tail: 0.00%
Epoch 168/200 - Loss: 0.2784, Val Acc: 50.55%, Head: 57.94%, Med: 21.00%, Tail: 0.00%
Epoch 169/200 - Loss: 0.2734, Val Acc: 50.51%, Head: 58.60%, Med: 18.15%, Tail: 0.00%
Epoch 170/200 - Loss: 0.2633, Val Acc: 50.36%, Head: 58.12%, Med: 19.30%, Tail: 0.00%
Epoch 171/200 - Loss: 0.2607, Val Acc: 50.55%, Head: 58.64%, Med: 18.20%, Tail: 0.00%
Epoch 172/200 - Loss: 0.2596, Val Acc: 50.18%, Head: 58.55%, Med: 16.70%, Tail: 0.00%
Epoch 173/200 - Loss: 0.2466, Val Acc: 49.83%, Head: 58.20%, Med: 16.35%, Tail: 0.00%
Epoch 174/200 - Loss: 0.2449, Val Acc: 48.88%, Head: 56.66%, Med: 17.75%, Tail: 0.00%
Epoch 175/200 - Loss: 0.2378, Val Acc: 49.11%, Head: 57.69%, Med: 14.80%, Tail: 0.00%
Epoch 176/200 - Loss: 0.2356, Val Acc: 49.23%, Head: 57.49%, Med: 16.20%, Tail: 0.00%
Epoch 177/200 - Loss: 0.2308, Val Acc: 49.31%, Head: 57.70%, Med: 15.75%, Tail: 0.00%
Epoch 178/200 - Loss: 0.2265, Val Acc: 49.92%, Head: 57.69%, Med: 18.85%, Tail: 0.00%
Epoch 179/200 - Loss: 0.2266, Val Acc: 50.10%, Head: 57.90%, Med: 18.90%, Tail: 0.00%
Epoch 180/200 - Loss: 0.2294, Val Acc: 49.42%, Head: 58.16%, Med: 14.45%, Tail: 0.00%
Epoch 181/200 - Loss: 0.2207, Val Acc: 48.71%, Head: 57.30%, Med: 14.35%, Tail: 0.00%
Epoch 182/200 - Loss: 0.2121, Val Acc: 49.66%, Head: 57.19%, Med: 19.55%, Tail: 0.00%
Epoch 183/200 - Loss: 0.2081, Val Acc: 49.57%, Head: 58.16%, Med: 15.20%, Tail: 0.00%
Epoch 184/200 - Loss: 0.2058, Val Acc: 50.03%, Head: 58.00%, Med: 18.15%, Tail: 0.00%
