nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run y045cj97
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073615-y045cj97
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/y045cj97
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 156/200 - Loss: 0.0293, Val Acc: 63.85%, Head: 71.76%, Med: 32.20%, Tail: 0.00%
[sgd] Epoch 157/200 - Loss: 0.0274, Val Acc: 62.79%, Head: 71.78%, Med: 26.85%, Tail: 0.00%
[sgd] Epoch 158/200 - Loss: 0.0266, Val Acc: 61.97%, Head: 71.31%, Med: 24.60%, Tail: 0.00%
[sgd] Epoch 159/200 - Loss: 0.0280, Val Acc: 63.06%, Head: 71.51%, Med: 29.25%, Tail: 0.00%
[sgd] Epoch 160/200 - Loss: 0.0193, Val Acc: 62.78%, Head: 73.47%, Med: 20.00%, Tail: 0.00%
[sgd] Epoch 161/200 - Loss: 0.0237, Val Acc: 60.32%, Head: 70.70%, Med: 18.80%, Tail: 0.00%
[sgd] Epoch 162/200 - Loss: 0.0192, Val Acc: 62.87%, Head: 72.44%, Med: 24.60%, Tail: 0.00%
[sgd] Epoch 163/200 - Loss: 0.0189, Val Acc: 63.96%, Head: 73.97%, Med: 23.90%, Tail: 0.00%
[sgd] Epoch 164/200 - Loss: 0.0152, Val Acc: 62.11%, Head: 72.64%, Med: 20.00%, Tail: 0.00%
[sgd] Epoch 165/200 - Loss: 0.0175, Val Acc: 64.52%, Head: 72.76%, Med: 31.55%, Tail: 0.00%
[sgd] Epoch 166/200 - Loss: 0.0165, Val Acc: 61.95%, Head: 70.97%, Med: 25.85%, Tail: 0.00%
[sgd] Epoch 167/200 - Loss: 0.0112, Val Acc: 64.62%, Head: 74.08%, Med: 26.80%, Tail: 0.00%
[sgd] Epoch 168/200 - Loss: 0.0094, Val Acc: 64.16%, Head: 73.70%, Med: 26.00%, Tail: 0.00%
