nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run do7o152i
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_065752-do7o152i
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer/runs/do7o152i
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 165/200 - Loss: 0.2498, Val Acc: 47.68%, Head: 56.51%, Med: 12.35%, Tail: 0.00%
[adam] Epoch 166/200 - Loss: 0.2524, Val Acc: 48.97%, Head: 57.69%, Med: 14.10%, Tail: 0.00%
[adam] Epoch 167/200 - Loss: 0.2465, Val Acc: 48.98%, Head: 57.61%, Med: 14.45%, Tail: 0.00%
[adam] Epoch 168/200 - Loss: 0.2453, Val Acc: 48.88%, Head: 57.41%, Med: 14.75%, Tail: 0.00%
[adam] Epoch 169/200 - Loss: 0.2474, Val Acc: 48.96%, Head: 57.29%, Med: 15.65%, Tail: 0.00%
[adam] Epoch 170/200 - Loss: 0.2425, Val Acc: 47.90%, Head: 57.12%, Med: 11.00%, Tail: 0.00%
[adam] Epoch 171/200 - Loss: 0.2437, Val Acc: 48.26%, Head: 57.36%, Med: 11.85%, Tail: 0.00%
[adam] Epoch 172/200 - Loss: 0.2260, Val Acc: 48.35%, Head: 56.98%, Med: 13.85%, Tail: 0.00%
[adam] Epoch 173/200 - Loss: 0.2320, Val Acc: 48.37%, Head: 57.02%, Med: 13.75%, Tail: 0.00%
[adam] Epoch 174/200 - Loss: 0.2333, Val Acc: 48.70%, Head: 57.44%, Med: 13.75%, Tail: 0.00%
[adam] Epoch 175/200 - Loss: 0.2226, Val Acc: 48.06%, Head: 56.98%, Med: 12.40%, Tail: 0.00%
