nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run s7knrlz7
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024022-s7knrlz7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/s7knrlz7
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 138/200 - Loss: 0.0208, Val Acc: 59.01%, Head: 68.47%, Med: 21.15%, Tail: 0.00%
[adam] Epoch 139/200 - Loss: 0.0157, Val Acc: 59.21%, Head: 68.42%, Med: 22.35%, Tail: 0.00%
[adam] Epoch 140/200 - Loss: 0.0174, Val Acc: 59.51%, Head: 68.44%, Med: 23.80%, Tail: 0.00%
[adam] Epoch 141/200 - Loss: 0.0179, Val Acc: 60.86%, Head: 69.62%, Med: 25.80%, Tail: 0.00%
[adam] Epoch 142/200 - Loss: 0.0185, Val Acc: 60.87%, Head: 69.78%, Med: 25.25%, Tail: 0.00%
[adam] Epoch 143/200 - Loss: 0.0181, Val Acc: 58.69%, Head: 67.47%, Med: 23.55%, Tail: 0.00%
[adam] Epoch 144/200 - Loss: 0.0165, Val Acc: 59.68%, Head: 68.35%, Med: 25.00%, Tail: 0.00%
[adam] Epoch 145/200 - Loss: 0.0181, Val Acc: 59.97%, Head: 68.45%, Med: 26.05%, Tail: 0.00%
[adam] Epoch 146/200 - Loss: 0.0153, Val Acc: 59.64%, Head: 68.85%, Med: 22.80%, Tail: 0.00%
[adam] Epoch 147/200 - Loss: 0.0132, Val Acc: 58.76%, Head: 68.03%, Med: 21.70%, Tail: 0.00%
[adam] Epoch 148/200 - Loss: 0.0131, Val Acc: 60.67%, Head: 69.76%, Med: 24.30%, Tail: 0.00%
[adam] Epoch 149/200 - Loss: 0.0126, Val Acc: 59.90%, Head: 68.72%, Med: 24.60%, Tail: 0.00%
[adam] Epoch 150/200 - Loss: 0.0130, Val Acc: 59.29%, Head: 69.00%, Med: 20.45%, Tail: 0.00%
[adam] Epoch 151/200 - Loss: 0.0097, Val Acc: 58.98%, Head: 68.74%, Med: 19.95%, Tail: 0.00%
[adam] Epoch 152/200 - Loss: 0.0134, Val Acc: 60.46%, Head: 69.17%, Med: 25.60%, Tail: 0.00%
[adam] Epoch 153/200 - Loss: 0.0120, Val Acc: 59.96%, Head: 68.96%, Med: 23.95%, Tail: 0.00%
[adam] Epoch 154/200 - Loss: 0.0104, Val Acc: 59.17%, Head: 68.67%, Med: 21.15%, Tail: 0.00%
[adam] Epoch 155/200 - Loss: 0.0094, Val Acc: 60.97%, Head: 69.92%, Med: 25.15%, Tail: 0.00%
[adam] Epoch 156/200 - Loss: 0.0095, Val Acc: 59.04%, Head: 68.16%, Med: 22.55%, Tail: 0.00%
[adam] Epoch 157/200 - Loss: 0.0064, Val Acc: 59.12%, Head: 68.86%, Med: 20.15%, Tail: 0.00%
[adam] Epoch 158/200 - Loss: 0.0081, Val Acc: 59.45%, Head: 68.85%, Med: 21.85%, Tail: 0.00%
[adam] Epoch 159/200 - Loss: 0.0078, Val Acc: 59.01%, Head: 68.72%, Med: 20.15%, Tail: 0.00%
[adam] Epoch 160/200 - Loss: 0.0065, Val Acc: 59.72%, Head: 69.00%, Med: 22.60%, Tail: 0.00%
[adam] Epoch 161/200 - Loss: 0.0051, Val Acc: 59.95%, Head: 68.81%, Med: 24.50%, Tail: 0.00%
[adam] Epoch 162/200 - Loss: 0.0051, Val Acc: 60.40%, Head: 69.65%, Med: 23.40%, Tail: 0.00%
[adam] Epoch 163/200 - Loss: 0.0062, Val Acc: 59.91%, Head: 69.16%, Med: 22.90%, Tail: 0.00%
[adam] Epoch 164/200 - Loss: 0.0046, Val Acc: 60.41%, Head: 69.80%, Med: 22.85%, Tail: 0.00%
[adam] Epoch 165/200 - Loss: 0.0047, Val Acc: 60.41%, Head: 69.29%, Med: 24.90%, Tail: 0.00%
[adam] Epoch 166/200 - Loss: 0.0038, Val Acc: 59.63%, Head: 68.51%, Med: 24.10%, Tail: 0.00%
[adam] Epoch 167/200 - Loss: 0.0061, Val Acc: 59.54%, Head: 69.39%, Med: 20.15%, Tail: 0.00%
[adam] Epoch 168/200 - Loss: 0.0047, Val Acc: 58.95%, Head: 68.51%, Med: 20.70%, Tail: 0.00%
[adam] Epoch 169/200 - Loss: 0.0054, Val Acc: 60.23%, Head: 69.28%, Med: 24.05%, Tail: 0.00%
[adam] Epoch 170/200 - Loss: 0.0048, Val Acc: 60.44%, Head: 69.79%, Med: 23.05%, Tail: 0.00%
[adam] Epoch 171/200 - Loss: 0.0048, Val Acc: 60.43%, Head: 69.31%, Med: 24.90%, Tail: 0.00%
[adam] Epoch 172/200 - Loss: 0.0043, Val Acc: 59.62%, Head: 68.55%, Med: 23.90%, Tail: 0.00%
[adam] Epoch 173/200 - Loss: 0.0044, Val Acc: 59.87%, Head: 68.42%, Med: 25.65%, Tail: 0.00%
[adam] Epoch 174/200 - Loss: 0.0038, Val Acc: 60.30%, Head: 69.16%, Med: 24.85%, Tail: 0.00%
