nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run az7n5eqw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_025622-az7n5eqw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/az7n5eqw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 108/200 - Loss: 0.0654, Val Acc: 60.96%, Head: 68.51%, Med: 30.75%, Tail: 0.00%
[rmsprop] Epoch 109/200 - Loss: 0.0696, Val Acc: 58.63%, Head: 68.19%, Med: 20.40%, Tail: 0.00%
[rmsprop] Epoch 110/200 - Loss: 0.0624, Val Acc: 59.39%, Head: 67.28%, Med: 27.85%, Tail: 0.00%
[rmsprop] Epoch 111/200 - Loss: 0.0670, Val Acc: 58.39%, Head: 67.85%, Med: 20.55%, Tail: 0.00%
[rmsprop] Epoch 112/200 - Loss: 0.0556, Val Acc: 58.09%, Head: 67.56%, Med: 20.20%, Tail: 0.00%
[rmsprop] Epoch 113/200 - Loss: 0.0609, Val Acc: 59.83%, Head: 68.62%, Med: 24.65%, Tail: 0.00%
[rmsprop] Epoch 114/200 - Loss: 0.0533, Val Acc: 59.31%, Head: 67.91%, Med: 24.90%, Tail: 0.00%
[rmsprop] Epoch 115/200 - Loss: 0.0555, Val Acc: 59.05%, Head: 67.11%, Med: 26.80%, Tail: 0.00%
[rmsprop] Epoch 116/200 - Loss: 0.0580, Val Acc: 61.25%, Head: 69.04%, Med: 30.10%, Tail: 0.00%
[rmsprop] Epoch 117/200 - Loss: 0.0500, Val Acc: 59.52%, Head: 67.58%, Med: 27.30%, Tail: 0.00%
[rmsprop] Epoch 118/200 - Loss: 0.0427, Val Acc: 59.79%, Head: 68.69%, Med: 24.20%, Tail: 0.00%
[rmsprop] Epoch 119/200 - Loss: 0.0505, Val Acc: 60.06%, Head: 68.58%, Med: 26.00%, Tail: 0.00%
[rmsprop] Epoch 120/200 - Loss: 0.0467, Val Acc: 59.77%, Head: 68.39%, Med: 25.30%, Tail: 0.00%
[rmsprop] Epoch 121/200 - Loss: 0.0463, Val Acc: 60.75%, Head: 69.44%, Med: 26.00%, Tail: 0.00%
[rmsprop] Epoch 122/200 - Loss: 0.0461, Val Acc: 57.97%, Head: 67.41%, Med: 20.20%, Tail: 0.00%
[rmsprop] Epoch 123/200 - Loss: 0.0452, Val Acc: 58.18%, Head: 68.40%, Med: 17.30%, Tail: 0.00%
[rmsprop] Epoch 124/200 - Loss: 0.0387, Val Acc: 57.30%, Head: 67.53%, Med: 16.40%, Tail: 0.00%
[rmsprop] Epoch 125/200 - Loss: 0.0356, Val Acc: 58.36%, Head: 67.16%, Med: 23.15%, Tail: 0.00%
