nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jz1a10si
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073641-jz1a10si
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/jz1a10si
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 123/200 - Loss: 0.0334, Val Acc: 57.15%, Head: 67.89%, Med: 14.20%, Tail: 0.00%
[rmsprop] Epoch 124/200 - Loss: 0.0336, Val Acc: 57.51%, Head: 67.15%, Med: 18.95%, Tail: 0.00%
[rmsprop] Epoch 125/200 - Loss: 0.0310, Val Acc: 58.14%, Head: 67.69%, Med: 19.95%, Tail: 0.00%
[rmsprop] Epoch 126/200 - Loss: 0.0338, Val Acc: 57.45%, Head: 67.00%, Med: 19.25%, Tail: 0.00%
[rmsprop] Epoch 127/200 - Loss: 0.0312, Val Acc: 58.56%, Head: 68.45%, Med: 19.00%, Tail: 0.00%
[rmsprop] Epoch 128/200 - Loss: 0.0338, Val Acc: 56.90%, Head: 67.06%, Med: 16.25%, Tail: 0.00%
[rmsprop] Epoch 129/200 - Loss: 0.0328, Val Acc: 57.68%, Head: 66.94%, Med: 20.65%, Tail: 0.00%
[rmsprop] Epoch 130/200 - Loss: 0.0260, Val Acc: 56.84%, Head: 67.51%, Med: 14.15%, Tail: 0.00%
[rmsprop] Epoch 131/200 - Loss: 0.0265, Val Acc: 57.58%, Head: 66.91%, Med: 20.25%, Tail: 0.00%
[rmsprop] Epoch 132/200 - Loss: 0.0229, Val Acc: 59.33%, Head: 68.04%, Med: 24.50%, Tail: 0.00%
[rmsprop] Epoch 133/200 - Loss: 0.0269, Val Acc: 56.49%, Head: 66.85%, Med: 15.05%, Tail: 0.00%
[rmsprop] Epoch 134/200 - Loss: 0.0220, Val Acc: 57.96%, Head: 67.15%, Med: 21.20%, Tail: 0.00%
[rmsprop] Epoch 135/200 - Loss: 0.0223, Val Acc: 58.03%, Head: 67.59%, Med: 19.80%, Tail: 0.00%
[rmsprop] Epoch 136/200 - Loss: 0.0220, Val Acc: 57.14%, Head: 65.67%, Med: 23.00%, Tail: 0.00%
[rmsprop] Epoch 137/200 - Loss: 0.0240, Val Acc: 58.97%, Head: 68.69%, Med: 20.10%, Tail: 0.00%
[rmsprop] Epoch 138/200 - Loss: 0.0193, Val Acc: 58.51%, Head: 68.04%, Med: 20.40%, Tail: 0.00%
[rmsprop] Epoch 139/200 - Loss: 0.0176, Val Acc: 57.45%, Head: 68.45%, Med: 13.45%, Tail: 0.00%
[rmsprop] Epoch 140/200 - Loss: 0.0192, Val Acc: 57.64%, Head: 66.34%, Med: 22.85%, Tail: 0.00%
[rmsprop] Epoch 141/200 - Loss: 0.0166, Val Acc: 59.17%, Head: 67.89%, Med: 24.30%, Tail: 0.00%
[rmsprop] Epoch 142/200 - Loss: 0.0178, Val Acc: 58.54%, Head: 68.95%, Med: 16.90%, Tail: 0.00%
[rmsprop] Epoch 143/200 - Loss: 0.0186, Val Acc: 57.96%, Head: 67.75%, Med: 18.80%, Tail: 0.00%
[rmsprop] Epoch 144/200 - Loss: 0.0127, Val Acc: 57.33%, Head: 67.28%, Med: 17.55%, Tail: 0.00%
[rmsprop] Epoch 145/200 - Loss: 0.0139, Val Acc: 57.28%, Head: 68.33%, Med: 13.10%, Tail: 0.00%
[rmsprop] Epoch 146/200 - Loss: 0.0158, Val Acc: 57.12%, Head: 67.16%, Med: 16.95%, Tail: 0.00%
[rmsprop] Epoch 147/200 - Loss: 0.0105, Val Acc: 56.04%, Head: 66.26%, Med: 15.15%, Tail: 0.00%
[rmsprop] Epoch 148/200 - Loss: 0.0130, Val Acc: 57.44%, Head: 67.83%, Med: 15.90%, Tail: 0.00%
[rmsprop] Epoch 149/200 - Loss: 0.0128, Val Acc: 56.69%, Head: 66.75%, Med: 16.45%, Tail: 0.00%
[rmsprop] Epoch 150/200 - Loss: 0.0126, Val Acc: 58.85%, Head: 68.24%, Med: 21.30%, Tail: 0.00%
[rmsprop] Epoch 151/200 - Loss: 0.0105, Val Acc: 57.88%, Head: 67.69%, Med: 18.65%, Tail: 0.00%
[rmsprop] Epoch 152/200 - Loss: 0.0098, Val Acc: 58.03%, Head: 68.58%, Med: 15.85%, Tail: 0.00%
[rmsprop] Epoch 153/200 - Loss: 0.0114, Val Acc: 57.57%, Head: 67.95%, Med: 16.05%, Tail: 0.00%
[rmsprop] Epoch 154/200 - Loss: 0.0071, Val Acc: 57.05%, Head: 66.61%, Med: 18.80%, Tail: 0.00%
[rmsprop] Epoch 155/200 - Loss: 0.0074, Val Acc: 57.92%, Head: 66.89%, Med: 22.05%, Tail: 0.00%
[rmsprop] Epoch 156/200 - Loss: 0.0082, Val Acc: 57.35%, Head: 67.30%, Med: 17.55%, Tail: 0.00%
