nohup: ignoring input
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/gauranshi/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run somsrgku
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home/gauranshi/Trinity-opt-DSAA2026/wandb/run-20260904_120624-somsrgku
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run WideResNet_cifar10_imb0.01
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/Trinity-Benchmark
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/Trinity-Benchmark/runs/somsrgku
sys:1: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch 156/200 - Loss: 0.0031, Val Acc: 61.85%, Head: 71.31%, Med: 24.00%, Tail: 0.00%
Epoch 157/200 - Loss: 0.0020, Val Acc: 63.29%, Head: 72.54%, Med: 26.30%, Tail: 0.00%
Epoch 158/200 - Loss: 0.0061, Val Acc: 61.69%, Head: 71.88%, Med: 20.95%, Tail: 0.00%
Epoch 159/200 - Loss: 0.0018, Val Acc: 61.70%, Head: 71.03%, Med: 24.40%, Tail: 0.00%
Epoch 160/200 - Loss: 0.0037, Val Acc: 59.36%, Head: 70.12%, Med: 16.30%, Tail: 0.00%
Epoch 161/200 - Loss: 0.0015, Val Acc: 62.32%, Head: 71.56%, Med: 25.35%, Tail: 0.00%
Epoch 162/200 - Loss: 0.0026, Val Acc: 60.96%, Head: 70.84%, Med: 21.45%, Tail: 0.00%
Epoch 163/200 - Loss: 0.0031, Val Acc: 60.44%, Head: 70.45%, Med: 20.40%, Tail: 0.00%
Epoch 164/200 - Loss: 0.0022, Val Acc: 62.83%, Head: 71.88%, Med: 26.65%, Tail: 0.00%
Epoch 165/200 - Loss: 0.0012, Val Acc: 62.37%, Head: 71.78%, Med: 24.75%, Tail: 0.00%
Epoch 166/200 - Loss: 0.0012, Val Acc: 62.32%, Head: 71.62%, Med: 25.10%, Tail: 0.00%
Epoch 167/200 - Loss: 0.0037, Val Acc: 62.98%, Head: 72.36%, Med: 25.45%, Tail: 0.00%
Epoch 168/200 - Loss: 0.0010, Val Acc: 62.88%, Head: 72.20%, Med: 25.60%, Tail: 0.00%
Epoch 169/200 - Loss: 0.0020, Val Acc: 59.19%, Head: 69.88%, Med: 16.45%, Tail: 0.00%
Epoch 170/200 - Loss: 0.0025, Val Acc: 62.64%, Head: 72.83%, Med: 21.90%, Tail: 0.00%
Epoch 171/200 - Loss: 0.0016, Val Acc: 61.50%, Head: 71.41%, Med: 21.85%, Tail: 0.00%
Epoch 172/200 - Loss: 0.0026, Val Acc: 62.35%, Head: 72.24%, Med: 22.80%, Tail: 0.00%
Epoch 173/200 - Loss: 0.0013, Val Acc: 62.13%, Head: 71.81%, Med: 23.40%, Tail: 0.00%
Epoch 174/200 - Loss: 0.0013, Val Acc: 61.86%, Head: 72.06%, Med: 21.05%, Tail: 0.00%
Epoch 175/200 - Loss: 0.0016, Val Acc: 61.74%, Head: 72.39%, Med: 19.15%, Tail: 0.00%
Epoch 176/200 - Loss: 0.0024, Val Acc: 61.96%, Head: 72.20%, Med: 21.00%, Tail: 0.00%
Epoch 177/200 - Loss: 0.0006, Val Acc: 62.30%, Head: 71.78%, Med: 24.40%, Tail: 0.00%
Epoch 178/200 - Loss: 0.0007, Val Acc: 62.37%, Head: 71.83%, Med: 24.55%, Tail: 0.00%
Epoch 179/200 - Loss: 0.0006, Val Acc: 62.44%, Head: 72.09%, Med: 23.85%, Tail: 0.00%
Epoch 180/200 - Loss: 0.0007, Val Acc: 62.67%, Head: 72.47%, Med: 23.45%, Tail: 0.00%
Epoch 181/200 - Loss: 0.0013, Val Acc: 62.39%, Head: 71.97%, Med: 24.05%, Tail: 0.00%
Epoch 182/200 - Loss: 0.0020, Val Acc: 61.97%, Head: 71.91%, Med: 22.20%, Tail: 0.00%
Epoch 183/200 - Loss: 0.0002, Val Acc: 62.15%, Head: 72.16%, Med: 22.10%, Tail: 0.00%
Epoch 184/200 - Loss: 0.0011, Val Acc: 61.82%, Head: 71.84%, Med: 21.75%, Tail: 0.00%
Epoch 185/200 - Loss: 0.0002, Val Acc: 62.35%, Head: 72.47%, Med: 21.85%, Tail: 0.00%
Epoch 186/200 - Loss: 0.0007, Val Acc: 62.44%, Head: 72.47%, Med: 22.30%, Tail: 0.00%
Epoch 187/200 - Loss: 0.0016, Val Acc: 62.58%, Head: 72.39%, Med: 23.35%, Tail: 0.00%
Epoch 188/200 - Loss: 0.0001, Val Acc: 62.87%, Head: 72.85%, Med: 22.95%, Tail: 0.00%
Epoch 189/200 - Loss: 0.0020, Val Acc: 62.78%, Head: 72.75%, Med: 22.90%, Tail: 0.00%
Epoch 190/200 - Loss: 0.0007, Val Acc: 62.85%, Head: 72.60%, Med: 23.85%, Tail: 0.00%
Epoch 191/200 - Loss: 0.0003, Val Acc: 63.02%, Head: 72.66%, Med: 24.45%, Tail: 0.00%
