nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0oyw2ly1
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024807-0oyw2ly1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/0oyw2ly1
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 154/200 - Loss: 0.0360, Val Acc: 59.96%, Head: 69.34%, Med: 22.45%, Tail: 0.00%
[sgd] Epoch 155/200 - Loss: 0.0357, Val Acc: 61.21%, Head: 70.41%, Med: 24.40%, Tail: 0.00%
[sgd] Epoch 156/200 - Loss: 0.0317, Val Acc: 59.55%, Head: 68.95%, Med: 21.95%, Tail: 0.00%
[sgd] Epoch 157/200 - Loss: 0.0309, Val Acc: 59.52%, Head: 68.75%, Med: 22.60%, Tail: 0.00%
[sgd] Epoch 158/200 - Loss: 0.0294, Val Acc: 60.54%, Head: 69.25%, Med: 25.70%, Tail: 0.00%
[sgd] Epoch 159/200 - Loss: 0.0243, Val Acc: 61.12%, Head: 71.39%, Med: 20.05%, Tail: 0.00%
[sgd] Epoch 160/200 - Loss: 0.0279, Val Acc: 61.19%, Head: 70.03%, Med: 25.85%, Tail: 0.00%
[sgd] Epoch 161/200 - Loss: 0.0202, Val Acc: 59.99%, Head: 70.45%, Med: 18.15%, Tail: 0.00%
[sgd] Epoch 162/200 - Loss: 0.0245, Val Acc: 61.24%, Head: 69.85%, Med: 26.80%, Tail: 0.00%
[sgd] Epoch 163/200 - Loss: 0.0199, Val Acc: 60.81%, Head: 70.28%, Med: 22.95%, Tail: 0.00%
[sgd] Epoch 164/200 - Loss: 0.0192, Val Acc: 60.75%, Head: 70.56%, Med: 21.50%, Tail: 0.00%
